category_id,category_code,category_name,subcategory_id,subcategory_code,subcategory_name
1,KITCHEN,키친·다이닝,1,TEAWARE,다기·찻잔
1,KITCHEN,키친·다이닝,2,PLATE_BOWL,그릇·접시
1,KITCHEN,키친·다이닝,3,CUTLERY,수저·젓가락
1,KITCHEN,키친·다이닝,4,CUP_LIQUOR,컵·술병·술잔
1,KITCHEN,키친·다이닝,5,SOBAN_TRAY,소반·쟁반
1,KITCHEN,키친·다이닝,6,KNIFE_BOARD,칼·도마
1,KITCHEN,키친·다이닝,7,JAR_ONGGI,항아리·옹기
1,KITCHEN,키친·다이닝,8,POT_CAULDRON,냄비·솥
1,KITCHEN,키친·다이닝,9,JEGI_VESSEL,제기
2,HOME,홈·인테리어,10,LIGHTING,조명
2,HOME,홈·인테리어,11,STORAGE_JEWELRY,수납함·보석함
2,HOME,홈·인테리어,12,VASE_FLOWER,화병·꽃
2,HOME,홈·인테리어,13,CLOCK_WALL,시계·벽장식
2,HOME,홈·인테리어,14,BLIND_SCREEN,발·가림막
2,HOME,홈·인테리어,15,FURNITURE,가구
2,HOME,홈·인테리어,16,HARDWARE_HANDLE,장석·손잡이
3,FASHION,패션·액세서리,17,RING_EARRING,반지·귀걸이
3,FASHION,패션·액세서리,18,NECKLACE_BRACELET,목걸이·팔찌
3,FASHION,패션·액세서리,19,NORIGAE_BROOCH,노리개·브로치
3,FASHION,패션·액세서리,20,HAIRPIN_BINYEO,머리핀·비녀
3,FASHION,패션·액세서리,21,SCARF_MUFFLER,스카프·머플러
3,FASHION,패션·액세서리,22,BAG_POUCH,가방·파우치
3,FASHION,패션·액세서리,23,WALLET_CARD,지갑·카드지갑
3,FASHION,패션·액세서리,24,KEYRING,키링·열쇠고리
3,FASHION,패션·액세서리,25,FAN,부채
3,FASHION,패션·액세서리,26,HANBOK,한복·생활한복
3,FASHION,패션·액세서리,27,GAT_HAT,갓·모자
3,FASHION,패션·액세서리,28,MANGGEON_HAIR,망건·머리장식
4,DESK,데스크·문구,29,BRUSH_INK_STONE,붓·먹·벼루
4,DESK,데스크·문구,30,HANJI_STATIONERY,한지·편지지
4,DESK,데스크·문구,31,PEN_FOUNTAIN,볼펜·만년필
4,DESK,데스크·문구,32,CARD_CASE,명함집
4,DESK,데스크·문구,33,PENCIL_CASE,필통·펜꽂이
5,FABRIC,패브릭·생활,34,CUSHION_BOLSTER,방석·보료
5,FABRIC,패브릭·생활,35,BEDDING,침구·이불
5,FABRIC,패브릭·생활,36,TABLECLOTH_RUNNER,테이블보·러너
5,FABRIC,패브릭·생활,37,BOJAGI_POUCH,보자기·복주머니
5,FABRIC,패브릭·생활,38,HANDKERCHIEF,손수건
5,FABRIC,패브릭·생활,39,APRON_FABRIC,앞치마·주방패브릭
5,FABRIC,패브릭·생활,40,MAT_SEDGE,돗자리·왕골
5,FABRIC,패브릭·생활,41,EMBROIDERY_PROP,자수 액자·소품
6,ART,아트·컬렉션,42,FRAME_PAINTING,액자·그림
6,ART,아트·컬렉션,43,SCREEN_SCROLL,병풍·족자
6,ART,아트·컬렉션,44,CALLIGRAPHY_ENGRAVING,서예·서각
6,ART,아트·컬렉션,45,WOOD_CARVING,목조각·조형
6,ART,아트·컬렉션,46,DOLL_MASK,전통인형·탈
6,ART,아트·컬렉션,47,SWORD_WEAPON,장도·전통무구
6,ART,아트·컬렉션,48,INSTRUMENT,전통악기
6,ART,아트·컬렉션,49,BUDDHIST_ITEM,불교용품
6,ART,아트·컬렉션,50,COLLECTIBLE,소장품
7,FOOD,식품·전통주,51,TRADITIONAL_LIQUOR,전통주
7,FOOD,식품·전통주,52,TEA,차
7,FOOD,식품·전통주,53,JANG_PICKLE,장·장아찌
7,FOOD,식품·전통주,54,KIMCHI,김치
7,FOOD,식품·전통주,55,RICECAKE_HANGWA,떡·한과
7,FOOD,식품·전통주,56,ROYAL_FOOD_SET,궁중음식·선물세트
